,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-10-13,308.5118163145658,57.65621214218075,195.50771703089057,421.515915598241
2025-10-14,308.5118163145658,58.04371250750667,194.74823027085566,422.275402358276
2025-10-15,308.5118163145658,58.428643016281164,193.99378033710695,423.02985229202466
2025-10-16,308.5118163145658,58.811054129253264,193.2442683283938,423.7793643007378
2025-10-17,308.5118163145658,59.19099467709504,192.49959853835747,424.52403409077414
2025-10-18,308.5118163145658,59.56851193318354,191.75967831288165,425.26395431624996
2025-10-19,308.5118163145658,59.943651682257105,191.02441791552806,425.9992147136036
2025-10-20,308.5118163145658,60.31645828522842,190.29373040050555,426.7299022286261
2025-10-21,308.5118163145658,60.68697474041391,189.56753149266257,427.45610113646904
2025-10-22,308.5118163145658,61.05524274141879,188.84573947403442,428.1778931550972
2025-10-23,308.5118163145658,61.42130273189838,188.12827507651335,428.8953575526183
2025-10-24,308.5118163145658,61.78519395739924,187.41506138024153,429.6085712488901
2025-10-25,308.5118163145658,62.1469545144682,186.70602371735922,430.31760891177237
2025-10-26,308.5118163145658,62.50662139720331,186.0010895807666,431.02254304836504
2025-10-27,308.5118163145658,62.86423054140765,185.3001885375839,431.7234440915477
2025-10-28,308.5118163145658,63.21981686649516,184.60325214701743,432.4203804821142
2025-10-29,308.5118163145658,63.57341431528687,183.91021388236044,433.1134187467712
2025-10-30,308.5118163145658,63.925055891825835,183.22100905687716,433.80262357225445
2025-10-31,308.5118163145658,64.27477369733006,182.5355747533365,434.4880578757951
2025-11-01,308.5118163145658,64.62259896439426,181.85384975697767,435.169782872154
2025-11-02,308.5118163145658,64.96856208954347,181.1757744917063,435.8478581374253
2025-11-03,308.5118163145658,65.31269266423489,180.50129095933204,436.5223416697996
2025-11-04,308.5118163145658,65.6550195043969,179.83034268167307,437.19328994745854
2025-11-05,308.5118163145658,65.99557067858929,179.1628746453632,437.8607579837684
2025-11-06,308.5118163145658,66.33437353486207,178.49883324920924,438.52479937992234
2025-11-07,308.5118163145658,66.67145472638606,177.83816625395636,439.1854663751752
2025-11-08,308.5118163145658,67.0068402359228,177.18082273432776,439.84280989480385
2025-11-09,308.5118163145658,67.34055539919773,176.526753033214,440.4968795959176
2025-11-10,308.5118163145658,67.67262492723593,175.8759087178959,441.14772391123574
2025-11-11,308.5118163145658,68.00307292771622,175.22824253819124,441.7953900909404
2025-11-12,308.5118163145658,68.33192292539576,174.58370838642327,442.43992424270834
2025-11-13,308.5118163145658,68.65919788165431,173.9422612591146,443.081371370017
2025-11-14,308.5118163145658,68.98492021320384,173.3038572203171,443.7197754088145
2025-11-15,308.5118163145658,69.30911181000688,172.6684533664926,444.355179262639
2025-11-16,308.5118163145658,69.63179405244396,172.0360077928653,444.9876248362663
2025-11-17,308.5118163145658,69.95298782776835,171.40647956117104,445.61715306796054
2025-11-18,308.5118163145658,70.27271354588382,170.77982866873353,446.24380396039805
2025-11-19,308.5118163145658,70.59099115447934,170.15601601880076,446.86761661033086
2025-11-20,308.5118163145658,70.90784015355224,169.5350033920803,447.4886292370513
2025-11-21,308.5118163145658,71.22327960935,168.9167534194138,448.1068792097178
2025-11-22,308.5118163145658,71.5373281677586,168.30122955553622,448.7224030735954
2025-11-23,308.5118163145658,71.85000406716428,167.68839605386742,449.33523657526416
2025-11-24,308.5118163145658,72.16132515081371,167.07821794228656,449.9454146868451
2025-11-25,308.5118163145658,72.47130887869623,166.47066099984335,450.55297162928827
2025-11-26,308.5118163145658,72.77997233897065,165.86569173436197,451.15794089476964
2025-11-27,308.5118163145658,73.08733225895763,165.26327736089638,451.76035526823523
2025-11-28,308.5118163145658,73.3934050157179,164.66338578099734,452.36024684813424
2025-11-29,308.5118163145658,73.6982066462349,164.06598556275497,452.95764706637664
2025-11-30,308.5118163145658,74.00175285722005,163.47104592158047,453.55258670755114
2025-12-01,308.5118163145658,74.30405903455755,162.87853670169497,454.1450959274366
2025-12-02,308.5118163145658,74.60514025240452,162.28842835829346,454.73520427083815
2025-12-03,308.5118163145658,74.9050112819622,161.70069194035347,455.32294068877815
2025-12-04,308.5118163145658,75.2036865999322,161.11529907406123,455.9083335550704
2025-12-05,308.5118163145658,75.50118039667167,160.53222194682778,456.4914106823038
2025-12-06,308.5118163145658,75.7975065840605,159.95143329186962,457.07219933726196
2025-12-07,308.5118163145658,76.09267880309268,159.37290637332976,457.6507262558018
2025-12-08,308.5118163145658,76.38671043120371,158.79661497191648,458.22701765721513
2025-12-09,308.5118163145658,76.67961458934508,158.22253337103737,458.80109925809427
2025-12-10,308.5118163145658,76.97140414881645,157.65063634340868,459.37299628572293
2025-12-11,308.5118163145658,77.2620917378657,157.08089913811935,459.9427334910123
2025-12-12,308.5118163145658,77.55168974806617,156.51329746813198,460.5103351609996
2025-12-13,308.5118163145658,77.8402103404805,155.94780749820174,461.07582513092984
2025-12-14,308.5118163145658,78.12766545161952,155.3844058331973,461.6392267959343
2025-12-15,308.5118163145658,78.41406679920459,154.8230695068068,462.2005631223248
2025-12-16,308.5118163145658,78.69942588774111,154.26377597061406,462.75985665851755
2025-12-17,308.5118163145658,78.98375401391094,153.70650308352944,463.31712954560214
2025-12-18,308.5118163145658,79.26706227179059,153.15122910156254,463.8724035275691
2025-12-19,308.5118163145658,79.5493615579023,152.5979326679222,464.4256999612094
2025-12-20,308.5118163145658,79.83066257610417,152.0465928034321,464.97703982569953
2025-12-21,308.5118163145658,80.11097584232597,151.49718889724858,465.52644373188303
2025-12-22,308.5118163145658,80.39031168915612,150.9497006978705,466.0739319312611
2025-12-23,308.5118163145658,80.66868027028586,150.4041083044287,466.6195243247029
2025-12-24,308.5118163145658,80.9460915648158,149.86039215824536,467.16324047088625
2025-12-25,308.5118163145658,81.22255538143011,149.31853303465283,467.7050995944788
2025-12-26,308.5118163145658,81.49808136244323,148.77851203506205,468.2451205940696
2025-12-27,308.5118163145658,81.77267898772396,148.24031057927158,468.78332204986003
2025-12-28,308.5118163145658,82.04635757850124,147.70391039800845,469.31972223112314
2025-12-29,308.5118163145658,82.31912630105609,147.16929352569196,469.85433910343966
2025-12-30,308.5118163145658,82.59099417030383,146.63644229341273,470.38719033571886
2025-12-31,308.5118163145658,82.8619700532705,146.10533932211914,470.9182933070125
2026-01-01,308.5118163145658,83.13206267246731,145.5759675160033,471.4476651131283
2026-01-02,308.5118163145658,83.40128060916673,145.04831005608023,471.97532257305136
2026-01-03,308.5118163145658,83.66963230658365,144.52235039395288,472.50128223517873
2026-01-04,308.5118163145658,83.93712607296513,143.99807224575622,473.02556038337536
2026-01-05,308.5118163145658,84.20377008459168,143.4754595862749,473.5481730428567
2026-01-06,308.5118163145658,84.4695723886934,142.95449664322777,474.0691359859038
2026-01-07,308.5118163145658,84.73454090628361,142.43516789171397,474.58846473741767
2026-01-08,308.5118163145658,84.99868343491319,141.91745804881467,475.106174580317
2026-01-09,308.5118163145658,85.26200765134799,141.40135206834523,475.6222805607864
2026-01-10,308.5118163145658,85.52452111417203,140.88683513575322,476.13679749337837
2026-01-11,308.5118163145658,85.78623126631916,140.37389266315634,476.6497399659753
2026-01-12,308.5118163145658,86.04714543753518,139.86251028451682,477.1611223446148
2026-01-13,308.5118163145658,86.3072708467732,139.35267385094656,477.6709587781851
2026-01-14,308.5118163145658,86.56661460452409,138.84436942613954,478.17926320299205
2026-01-15,308.5118163145658,86.8251837150843,138.33758328192698,478.68604934720463
2026-01-16,308.5118163145658,87.08298507876309,137.83230189395124,479.1913307351804
2026-01-17,308.5118163145658,87.34002549403115,137.3285119374546,479.695120691677
2026-01-18,308.5118163145658,87.5963116596124,136.8262002831795,480.1974323459521
2026-01-19,308.5118163145658,87.85185017652095,136.32535399337596,480.6982786357556
2026-01-20,308.5118163145658,88.10664755004483,135.82596031791377,481.19767231121784
2026-01-21,308.5118163145658,88.36071019167827,135.3280066904951,481.6956259386365
2026-01-22,308.5118163145658,88.61404442100412,134.83148072496522,482.1921519041664
2026-01-23,308.5118163145658,88.86665646752796,134.33637021171754,482.6872624174141
2026-01-24,308.5118163145658,89.11855247246538,133.84266311419066,483.18096951494095
2026-01-25,308.5118163145658,89.36973849048402,133.35034756545411,483.6732850636775
2026-01-26,308.5118163145658,89.62022049140158,132.85941186488017,484.16422076425147
2026-01-27,308.5118163145658,89.8700043618413,132.3698444748993,484.6537881542323
